species_id,habitat_type,population_trend,fishing_pressure,average_size_cm,geographic_region,reproduction_rate,depth_range_m,water_temperature_c,population_size_thousands,conservation_status
94,Coastal,Increasing,Low,198.44,Pacific,0.89,834.64,9.14,305.41,Good
95,Coral Reef,Critical,High,28.84,Atlantic,6.55,130.94,5.06,191.86,Poor
96,Coastal,Increasing,Moderate,86.28,Mediterranean,6.17,796.53,29.6,152.96,Moderate
97,Estuary,Increasing,Low,162.01,Pacific,6.71,950.64,27.65,13.4,Good
98,Deep Sea,Critical,Very High,48.77,Mediterranean,2.33,905.28,6.39,2.95,Poor
99,Deep Sea,Stable,Very High,115.47,Arctic,3.31,1739.0,25.83,114.38,Poor
100,Coral Reef,Stable,Low,149.28,Mediterranean,6.39,1062.47,16.45,203.8,Good
101,Open Ocean,Critical,Very High,127.04,Indian Ocean,6.2,938.62,11.47,425.78,Poor
102,Coral Reef,Declining,Very High,45.72,Indian Ocean,5.31,824.36,26.97,399.44,Moderate
103,Open Ocean,Increasing,Very High,77.52,Mediterranean,3.83,1636.16,9.92,134.32,Poor
104,Deep Sea,Critical,Moderate,158.92,Indian Ocean,9.17,1790.64,28.68,123.03,Moderate
105,Coral Reef,Increasing,Very High,115.3,Arctic,3.73,1707.22,10.14,114.43,Poor
106,Estuary,Declining,Very High,10.99,Atlantic,4.83,1348.73,20.34,170.28,Moderate
107,Coastal,Increasing,Very High,154.59,Indian Ocean,6.94,279.04,10.58,249.6,Moderate
108,Open Ocean,Critical,Moderate,16.71,Indian Ocean,5.66,557.36,18.64,219.9,Moderate
109,Coastal,Increasing,Low,151.69,Mediterranean,3.8,96.9,22.1,109.92,Good
110,Coastal,Stable,High,48.47,Arctic,4.64,1861.99,9.76,66.1,Moderate
111,Coral Reef,Declining,Very High,192.03,Atlantic,8.05,1323.29,18.02,7.28,Poor
112,Coastal,Declining,Low,79.91,Mediterranean,3.14,1493.99,16.73,77.83,Moderate
113,Estuary,Declining,Very High,72.12,Mediterranean,1.85,626.59,6.78,352.97,Poor
114,Coastal,Critical,Moderate,38.29,Arctic,3.48,1692.08,25.46,122.58,Poor
115,Coral Reef,Declining,Low,68.06,Atlantic,8.57,522.91,13.39,234.83,Good
116,Estuary,Stable,Moderate,176.56,Arctic,1.35,8.28,19.36,296.06,Moderate
117,Deep Sea,Critical,Very High,199.3,Atlantic,9.92,755.95,17.87,443.53,Poor
118,Coastal,Stable,Very High,79.98,Arctic,5.64,1143.67,17.83,444.54,Moderate
119,Coral Reef,Increasing,Moderate,95.24,Mediterranean,9.86,960.02,7.68,373.12,Good
120,Deep Sea,Increasing,High,147.19,Mediterranean,9.42,1724.84,15.59,18.54,Moderate
121,Deep Sea,Increasing,Moderate,178.38,Pacific,4.8,215.28,16.31,287.96,Moderate
122,Open Ocean,Increasing,Very High,122.68,Indian Ocean,2.39,1109.88,23.34,393.51,Moderate
123,Estuary,Stable,Moderate,84.39,Arctic,2.07,1028.39,26.0,9.63,Poor
124,Coastal,Critical,High,88.4,Pacific,2.78,566.38,18.62,275.29,Poor
125,Coral Reef,Critical,Moderate,142.17,Indian Ocean,7.25,1645.35,7.17,429.02,Good
126,Open Ocean,Declining,High,10.61,Arctic,3.09,1506.93,10.92,237.58,Poor
127,Estuary,Stable,High,127.72,Atlantic,3.74,1467.05,9.12,3.05,Moderate
128,Open Ocean,Increasing,Moderate,77.54,Indian Ocean,4.76,1753.0,8.12,6.5,Moderate
129,Estuary,Stable,Moderate,160.9,Mediterranean,9.18,1446.96,14.15,208.9,Moderate
130,Estuary,Declining,Low,27.67,Pacific,2.3,467.52,10.73,78.35,Moderate
131,Coastal,Declining,Very High,121.76,Indian Ocean,0.55,1412.6,10.46,332.56,Moderate
132,Estuary,Stable,High,101.38,Indian Ocean,1.07,618.87,6.37,354.69,Moderate
133,Open Ocean,Stable,Low,132.04,Mediterranean,9.1,488.14,5.44,89.76,Good
134,Estuary,Stable,Moderate,22.32,Arctic,6.65,150.64,7.57,444.38,Good
135,Coastal,Critical,Very High,120.2,Atlantic,3.09,1489.34,9.3,221.51,Poor
136,Coastal,Increasing,Low,116.68,Mediterranean,2.18,1423.45,15.77,72.28,Moderate
137,Open Ocean,Stable,High,116.53,Atlantic,3.3,472.83,17.76,382.36,Moderate
138,Deep Sea,Stable,Low,124.66,Arctic,1.59,1500.01,8.51,395.2,Moderate
139,Deep Sea,Stable,High,138.53,Indian Ocean,9.44,1836.09,15.62,320.01,Moderate
140,Estuary,Declining,Moderate,162.95,Atlantic,7.95,220.52,13.54,426.88,Moderate
141,Coral Reef,Declining,Very High,61.27,Pacific,4.89,469.11,9.59,368.95,Moderate
142,Estuary,Critical,Very High,166.76,Pacific,8.72,1501.77,5.17,441.22,Moderate
143,Open Ocean,Increasing,Very High,104.67,Mediterranean,2.87,552.64,16.68,217.51,Poor
144,Open Ocean,Critical,Moderate,24.64,Arctic,7.31,1251.2,22.14,374.05,Moderate
145,Open Ocean,Increasing,High,21.12,Mediterranean,8.63,166.92,10.66,499.88,Good
146,Open Ocean,Declining,Moderate,73.51,Mediterranean,3.89,907.14,8.3,362.74,Moderate
147,Open Ocean,Declining,Very High,159.13,Mediterranean,7.7,1479.49,27.18,57.98,Poor
148,Coastal,Declining,Moderate,144.46,Pacific,3.3,1374.6,11.88,259.64,Moderate
149,Deep Sea,Critical,Moderate,159.84,Pacific,3.34,1631.07,10.59,294.09,Poor
150,Open Ocean,Stable,Moderate,108.28,Mediterranean,1.52,1755.52,26.43,87.93,Moderate
151,Coral Reef,Stable,High,93.64,Pacific,4.68,1547.5,25.43,481.48,Moderate
152,Coral Reef,Declining,Low,38.02,Arctic,7.43,1344.82,16.21,88.61,Good
153,Coral Reef,Stable,Low,72.36,Mediterranean,9.43,68.29,17.23,89.6,Moderate
154,Coral Reef,Stable,Moderate,92.46,Pacific,6.24,1072.26,10.44,457.67,Moderate
155,Coastal,Critical,Low,26.83,Atlantic,8.7,80.21,6.96,233.14,Good
156,Coral Reef,Increasing,Low,51.92,Mediterranean,8.31,1617.1,19.34,32.53,Good
157,Open Ocean,Declining,Moderate,123.66,Mediterranean,2.15,644.85,7.46,299.5,Poor
158,Estuary,Declining,Moderate,149.78,Arctic,5.12,1127.05,16.23,301.31,Moderate
159,Coral Reef,Critical,Very High,199.69,Indian Ocean,1.61,562.49,28.51,33.19,Poor
160,Coastal,Critical,Low,187.29,Indian Ocean,6.98,1566.09,28.82,486.29,Good
161,Coastal,Stable,High,132.09,Arctic,9.52,1773.57,10.98,272.47,Moderate
162,Coral Reef,Declining,Moderate,90.04,Arctic,1.8,800.29,20.6,280.34,Poor
163,Estuary,Increasing,Very High,130.87,Arctic,7.47,1726.53,16.85,260.54,Moderate
164,Coral Reef,Critical,High,159.27,Indian Ocean,6.51,537.81,26.89,305.76,Moderate
165,Coastal,Increasing,Low,32.48,Arctic,6.04,1071.65,11.79,132.89,Good
166,Deep Sea,Increasing,Very High,87.88,Pacific,4.21,1718.23,5.09,144.33,Moderate
167,Open Ocean,Declining,Moderate,169.56,Mediterranean,3.87,655.13,9.06,256.16,Moderate
168,Coastal,Declining,High,82.93,Mediterranean,0.93,1908.31,13.74,403.54,Poor
169,Coral Reef,Critical,Moderate,118.66,Atlantic,2.57,248.15,12.89,25.88,Poor
170,Open Ocean,Declining,Low,121.68,Atlantic,0.64,41.46,24.78,302.1,Good
171,Coral Reef,Declining,High,45.05,Mediterranean,6.02,1808.75,22.01,403.58,Moderate
172,Coral Reef,Declining,Low,78.82,Pacific,1.51,141.95,12.49,79.3,Poor
173,Deep Sea,Increasing,Low,73.56,Indian Ocean,8.79,1983.82,16.44,8.5,Good
174,Open Ocean,Critical,Very High,14.98,Indian Ocean,5.47,1903.04,7.39,157.04,Poor
175,Open Ocean,Stable,Moderate,14.6,Pacific,7.15,278.36,27.45,294.48,Moderate
176,Deep Sea,Increasing,High,168.02,Indian Ocean,4.4,1077.48,28.39,70.0,Moderate
177,Coastal,Declining,Low,61.88,Arctic,5.83,373.92,29.5,213.64,Good
178,Coral Reef,Increasing,Low,108.43,Mediterranean,9.46,859.17,26.71,276.61,Good
179,Estuary,Declining,High,66.76,Mediterranean,1.29,127.54,9.35,299.84,Poor
180,Coral Reef,Declining,Low,188.73,Pacific,2.91,451.73,6.15,137.93,Moderate
181,Coral Reef,Increasing,Very High,59.27,Indian Ocean,7.91,729.73,19.49,200.61,Moderate
182,Coastal,Critical,Very High,91.63,Atlantic,1.44,880.1,27.82,389.39,Poor
183,Coral Reef,Declining,Very High,175.82,Atlantic,1.22,1955.11,9.43,470.67,Moderate
184,Deep Sea,Critical,Very High,169.97,Indian Ocean,3.93,1616.69,5.18,431.08,Poor
185,Deep Sea,Stable,Low,45.36,Atlantic,1.38,1476.13,25.14,282.58,Moderate
186,Open Ocean,Declining,High,162.5,Pacific,6.06,1076.4,6.92,205.74,Moderate
187,Estuary,Critical,High,97.06,Pacific,2.65,1680.8,15.34,167.15,Poor
188,Coral Reef,Critical,High,101.76,Indian Ocean,9.01,681.95,21.97,63.35,Moderate
189,Coral Reef,Stable,High,35.36,Atlantic,7.94,1419.25,10.92,54.17,Moderate
190,Coastal,Critical,Moderate,25.31,Pacific,7.15,1987.6,7.1,344.49,Moderate
191,Deep Sea,Critical,High,148.31,Pacific,6.36,632.68,24.25,130.64,Poor
192,Estuary,Stable,Moderate,104.33,Arctic,8.7,1349.66,20.75,128.08,Moderate
193,Open Ocean,Declining,Moderate,93.0,Arctic,2.62,1689.41,29.71,499.1,Moderate
194,Deep Sea,Critical,Very High,148.61,Pacific,8.79,1832.04,13.61,94.78,Poor
195,Open Ocean,Critical,Moderate,155.45,Indian Ocean,8.0,1437.28,6.54,74.88,Poor
196,Coastal,Critical,Low,40.19,Mediterranean,7.61,570.8,23.36,50.24,Moderate
197,Coastal,Increasing,Moderate,125.94,Mediterranean,5.83,655.93,18.04,290.32,Moderate
198,Coral Reef,Stable,Very High,35.72,Pacific,2.84,46.41,10.33,314.3,Moderate
199,Estuary,Increasing,Moderate,152.76,Pacific,4.52,1522.97,24.54,183.25,Good
200,Open Ocean,Stable,Low,134.82,Pacific,8.04,90.27,10.09,268.17,Good
201,Deep Sea,Declining,Low,191.76,Indian Ocean,0.8,1729.98,11.52,394.41,Moderate
202,Coastal,Declining,Low,23.1,Arctic,7.93,241.73,7.31,409.23,Good
203,Coral Reef,Critical,Very High,20.84,Pacific,2.78,347.89,14.99,479.0,Poor
204,Coral Reef,Stable,Very High,63.62,Pacific,1.87,955.67,15.47,412.31,Moderate
205,Open Ocean,Declining,High,59.72,Atlantic,1.6,1477.07,17.86,282.86,Moderate
206,Coastal,Stable,Very High,56.93,Indian Ocean,0.76,282.31,22.72,90.65,Poor
207,Estuary,Declining,Low,182.19,Pacific,5.47,882.94,27.65,50.78,Moderate
208,Coastal,Increasing,Low,57.41,Atlantic,2.57,968.29,8.44,28.2,Good
209,Open Ocean,Declining,Very High,61.67,Mediterranean,9.9,428.51,6.36,333.6,Moderate
210,Open Ocean,Increasing,Moderate,154.29,Pacific,5.96,235.54,5.46,403.96,Good
211,Coastal,Declining,Very High,95.45,Pacific,1.81,1673.66,8.59,254.83,Poor
212,Open Ocean,Critical,Very High,157.58,Atlantic,7.04,1007.42,21.45,28.3,Poor
213,Coastal,Increasing,Low,22.42,Indian Ocean,9.03,33.69,23.19,268.2,Good
214,Deep Sea,Declining,High,102.64,Pacific,7.58,1606.95,24.66,467.94,Moderate
215,Coastal,Critical,Low,16.39,Mediterranean,1.23,1961.68,11.09,299.21,Moderate
216,Coastal,Increasing,High,21.9,Pacific,9.01,1213.82,12.65,404.9,Good
217,Open Ocean,Critical,Low,182.22,Mediterranean,8.04,1009.9,17.08,400.28,Good
218,Open Ocean,Stable,Very High,36.46,Arctic,2.0,1757.44,6.58,466.13,Moderate
219,Coral Reef,Stable,Low,111.16,Arctic,0.99,1905.27,20.28,385.34,Good
220,Coral Reef,Increasing,Low,88.11,Mediterranean,5.79,1510.3,29.59,374.1,Good
221,Deep Sea,Declining,Low,76.0,Indian Ocean,1.98,893.68,14.02,117.82,Moderate
222,Coral Reef,Increasing,Very High,180.97,Pacific,8.43,1186.48,23.82,30.9,Moderate
223,Coastal,Critical,Very High,14.15,Pacific,3.9,1403.37,17.5,259.28,Poor
224,Open Ocean,Declining,Very High,136.12,Arctic,9.17,392.58,8.2,63.09,Poor
225,Coral Reef,Stable,Very High,193.04,Mediterranean,5.87,897.17,19.56,481.14,Moderate
226,Coral Reef,Declining,High,116.43,Pacific,2.24,1660.49,12.5,145.67,Poor
227,Deep Sea,Stable,High,188.0,Pacific,1.83,1311.18,5.86,426.62,Moderate
228,Deep Sea,Declining,Moderate,19.93,Indian Ocean,5.98,825.35,20.87,194.42,Moderate
229,Coastal,Declining,Very High,89.57,Atlantic,7.74,1328.41,26.47,162.27,Moderate
230,Open Ocean,Declining,High,59.43,Arctic,7.92,240.85,13.62,467.64,Good
231,Deep Sea,Critical,Low,148.86,Arctic,3.12,805.99,14.76,182.3,Moderate
232,Coral Reef,Critical,Very High,196.45,Atlantic,2.44,1587.29,27.28,195.75,Poor
233,Open Ocean,Increasing,Moderate,58.74,Pacific,0.66,444.92,25.34,53.94,Moderate
234,Open Ocean,Increasing,Moderate,134.29,Indian Ocean,6.95,375.99,22.87,335.55,Good
235,Coral Reef,Stable,Moderate,47.64,Indian Ocean,1.23,1901.88,11.22,145.13,Moderate
236,Deep Sea,Critical,Low,117.41,Arctic,4.5,423.75,27.76,293.22,Moderate
237,Coral Reef,Stable,High,98.15,Indian Ocean,6.22,525.53,8.86,296.08,Moderate
238,Open Ocean,Increasing,Low,194.68,Atlantic,9.4,1939.38,20.67,359.88,Good
239,Estuary,Stable,Very High,125.62,Pacific,3.46,1470.74,5.72,372.88,Poor
240,Estuary,Increasing,Moderate,76.41,Atlantic,2.87,1400.7,21.09,257.71,Moderate
241,Coastal,Critical,Low,31.68,Mediterranean,6.71,1706.59,11.93,166.16,Moderate
242,Coral Reef,Declining,Low,38.74,Arctic,6.38,236.07,16.24,418.89,Moderate
243,Coral Reef,Critical,High,52.81,Indian Ocean,3.66,1413.38,13.63,155.62,Poor
244,Coastal,Stable,High,57.68,Mediterranean,9.32,1009.86,9.32,254.25,Good
245,Coastal,Stable,Moderate,171.62,Indian Ocean,8.53,1659.16,20.55,201.23,Good
246,Coastal,Critical,Low,116.63,Pacific,2.63,1018.74,27.05,427.68,Moderate
247,Open Ocean,Critical,Low,109.44,Pacific,2.77,1242.38,28.98,216.53,Poor
248,Coral Reef,Increasing,High,31.81,Pacific,5.37,958.1,9.81,193.66,Moderate
249,Open Ocean,Stable,Low,173.43,Indian Ocean,7.85,958.93,22.93,345.22,Good
250,Coastal,Stable,Low,147.33,Mediterranean,0.92,1537.1,21.61,301.62,Moderate
251,Coral Reef,Critical,Low,22.86,Pacific,7.09,1258.99,13.58,54.52,Moderate
252,Open Ocean,Declining,High,144.49,Mediterranean,6.66,1268.36,5.48,254.58,Moderate
253,Open Ocean,Stable,Moderate,113.27,Indian Ocean,2.7,903.31,22.24,368.0,Good
254,Coastal,Declining,Very High,25.53,Mediterranean,6.97,1064.56,28.64,496.05,Moderate
255,Coral Reef,Critical,Moderate,97.08,Indian Ocean,9.43,1492.71,20.8,314.94,Good
256,Coastal,Critical,Very High,102.09,Indian Ocean,0.94,1652.75,15.88,185.78,Poor
257,Coral Reef,Increasing,Low,41.5,Arctic,3.54,1394.64,18.13,113.85,Moderate
258,Estuary,Stable,Moderate,189.68,Indian Ocean,4.66,1848.53,9.99,436.54,Good
259,Deep Sea,Declining,Very High,171.5,Indian Ocean,9.04,1641.55,23.76,407.47,Moderate
260,Deep Sea,Increasing,High,137.11,Atlantic,9.64,1125.92,23.66,117.73,Moderate
261,Deep Sea,Stable,High,97.84,Pacific,4.72,1344.46,8.64,101.12,Poor
262,Coastal,Increasing,Moderate,88.24,Arctic,7.63,1852.99,26.95,357.85,Good
263,Estuary,Critical,Moderate,133.68,Arctic,5.55,1240.24,11.73,158.16,Poor
264,Coral Reef,Stable,Low,113.63,Arctic,5.61,1650.49,29.56,153.89,Good
265,Open Ocean,Increasing,Moderate,21.83,Atlantic,3.14,1379.18,14.57,76.99,Moderate
266,Coral Reef,Increasing,Low,107.38,Indian Ocean,2.56,1106.11,9.45,132.72,Good
267,Open Ocean,Declining,Low,163.22,Pacific,3.24,487.47,13.79,214.33,Moderate
268,Coral Reef,Increasing,High,97.26,Mediterranean,5.79,854.87,16.0,366.69,Good
269,Estuary,Stable,High,19.87,Indian Ocean,0.78,1935.65,6.73,168.82,Moderate
270,Open Ocean,Stable,Very High,159.39,Atlantic,9.12,1317.24,19.46,164.97,Moderate
271,Coastal,Declining,High,48.26,Indian Ocean,1.98,1130.97,19.94,143.17,Poor
272,Coral Reef,Stable,High,59.14,Indian Ocean,2.59,1866.25,23.47,239.66,Moderate
273,Coral Reef,Critical,Moderate,41.29,Atlantic,5.42,1175.09,5.73,91.14,Poor
274,Open Ocean,Stable,High,72.74,Arctic,7.25,1054.53,18.53,243.33,Moderate
275,Coastal,Stable,Very High,153.78,Arctic,1.41,1519.83,6.32,352.38,Poor
276,Coastal,Increasing,Moderate,108.68,Pacific,3.52,1426.77,22.53,15.87,Moderate
277,Estuary,Increasing,Very High,48.93,Pacific,9.7,390.35,6.39,5.88,Moderate
278,Coastal,Stable,High,176.79,Arctic,2.99,945.26,27.79,38.49,Poor
279,Coastal,Declining,Very High,177.12,Mediterranean,3.47,947.67,22.55,268.29,Poor
280,Coastal,Increasing,Moderate,175.41,Indian Ocean,8.45,759.56,17.68,427.37,Good
281,Deep Sea,Declining,Low,55.37,Mediterranean,0.98,1037.0,16.04,3.44,Moderate
282,Estuary,Stable,Very High,95.74,Indian Ocean,4.91,829.15,8.27,468.39,Moderate
283,Coral Reef,Stable,Very High,197.15,Arctic,4.11,402.69,12.27,54.03,Poor
284,Open Ocean,Critical,Moderate,156.68,Pacific,3.51,827.67,26.72,421.15,Moderate
285,Coral Reef,Increasing,Moderate,15.16,Pacific,3.21,149.19,27.61,241.94,Moderate
286,Estuary,Stable,Very High,22.39,Mediterranean,1.37,1153.69,5.02,330.02,Poor
287,Open Ocean,Critical,High,98.15,Pacific,3.49,1708.04,19.85,255.83,Poor
288,Estuary,Increasing,Very High,182.75,Arctic,0.91,1451.95,22.98,239.05,Moderate
289,Coastal,Stable,Moderate,112.35,Mediterranean,7.92,723.99,20.47,417.61,Good
290,Open Ocean,Stable,Low,104.58,Indian Ocean,4.28,178.71,7.04,378.19,Good
291,Coastal,Increasing,Low,30.04,Pacific,4.72,408.29,10.44,242.22,Good
292,Coral Reef,Increasing,High,134.79,Atlantic,8.99,1093.25,11.26,56.71,Moderate
293,Coral Reef,Increasing,Very High,166.2,Pacific,6.75,418.08,25.79,58.59,Poor
294,Open Ocean,Stable,Low,82.28,Indian Ocean,0.58,1090.23,16.58,400.97,Good
